Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question type,Question level
What was the importance of Mauryan Period ? ,Buddhism established,"Political unification of India, Dhamma policy of Ashoka, the growth of Art and architecture","Dominated by Dadabai Naoroji, Surendranath Banerjea",A O Hume,"Political unification of India, Dhamma policy of Ashoka, the growth of Art and architecture",static,EASY
What was the importance of First Muslim Invasion ? ,"Political unification of India, Dhamma policy of Ashoka, the growth of Art and architecture",Buddhism established,Mahmud Bin Qasim invaded India,"Dominated by Dadabai Naoroji, Surendranath Banerjea",Mahmud Bin Qasim invaded India,static,EASY
What was the importance of Prithviraj Chauhan ? ,Mahmud Bin Qasim invaded India,"First and Secondbattle of Tarain between Prithviraj and Mahmud of Ghori
",Buddhism established,Founded the city of Agra,"First and Secondbattle of Tarain between Prithviraj and Mahmud of Ghori
",static,EASY
What was the importance of Allaudin Khalji ? ,"First and Secondbattle of Tarain between Prithviraj and Mahmud of Ghori
",Mahmud Bin Qasim invaded India,"Political unification of India, Dhamma policy of Ashoka, the growth of Art and architecture","Did many administrative reforms, introduced the Dagh
and Chehra system","Did many administrative reforms, introduced the Dagh
and Chehra system",static,EASY
What was the importance of Firoz Shah Tuglaq ? ,"Did many administrative reforms, introduced the Dagh
and Chehra system","First and Secondbattle of Tarain between Prithviraj and Mahmud of Ghori
",Mahmud Bin Qasim invaded India,Built great cities,Built great cities,static,EASY
What was the importance of Bahlol Lodhi ? ,Founder of Lodhi dynasty,"Did many administrative reforms, introduced the Dagh
and Chehra system","First and Secondbattle of Tarain between Prithviraj and Mahmud of Ghori
",Mahmud Bin Qasim invaded India,Founder of Lodhi dynasty,static,EASY
What was the importance of Sikander Lodhi ? ,Founder of Lodhi dynasty,Built great cities,Founded the city of Agra,"First and Secondbattle of Tarain between Prithviraj and Mahmud of Ghori
",Founded the city of Agra,static,EASY
What was the importance of Ibrahim Lodhi ? ,Founded the city of Agra,Babur defeated Lodhi in the first battle of Panipat,Built great cities,"Did many administrative reforms, introduced the Dagh
and Chehra system",Babur defeated Lodhi in the first battle of Panipat,static,EASY
What was the importance of Humayun ? ,He was defeated by Sher Shah,Founded the city of Agra,Founder of Lodhi dynasty,Built great cities,He was defeated by Sher Shah,static,EASY
What was the importance of 2nd Battle of Panipat ? ,He was defeated by Sher Shah,Babur defeated Lodhi in the first battle of Panipat,Akbar Vs. Hemu,Founder of Lodhi dynasty,Akbar Vs. Hemu,static,EASY
What was the importance of Aurangazeb ? ,Akbar Vs. Hemu,Beginning of the decline of Mughal empire,Babur defeated Lodhi in the first battle of Panipat,Founded the city of Agra,Beginning of the decline of Mughal empire,static,EASY
What was the importance of Akbar ? ,Beginning of the decline of Mughal empire,Akbar Vs. Hemu,He was defeated by Sher Shah,"Established Din-i-illahi, expanded Mughal empire","Established Din-i-illahi, expanded Mughal empire",static,EASY
What was the importance of Shahjahan ? ,"Established Din-i-illahi, expanded Mughal empire",The pinnacle of Mughal empire and art and architecture,Akbar Vs. Hemu,He was defeated by Sher Shah,The pinnacle of Mughal empire and art and architecture,static,EASY
What was the importance of Later Mughals ? ,Decline and disintegration of Mughal empire with gaining strength of the British,"Established Din-i-illahi, expanded Mughal empire",Beginning of the decline of Mughal empire,Akbar Vs. Hemu,Decline and disintegration of Mughal empire with gaining strength of the British,static,EASY
What was the importance of Tippu Sultan ? ,Decline and disintegration of Mughal empire with gaining strength of the British,Tipu ceded half of his territory,"Established Din-i-illahi, expanded Mughal empire",Beginning of the decline of Mughal empire,Tipu ceded half of his territory,static,EASY
What was the importance of Formation of Congress ? ,Tipu ceded half of his territory,"Dominated by Dadabai Naoroji, Surendranath Banerjea",The pinnacle of Mughal empire and art and architecture,"Established Din-i-illahi, expanded Mughal empire","Dominated by Dadabai Naoroji, Surendranath Banerjea",static,EASY
What was the importance of 3rd Anglo - Mysore war ? ,"Dominated by Dadabai Naoroji, Surendranath Banerjea",Tipu ceded half of his territory,Decline and disintegration of Mughal empire with gaining strength of the British,Tipu sultan died,Tipu sultan died,static,EASY
What was the importance of English East India company ? ,Tipu sultan died,"Dominated by Dadabai Naoroji, Surendranath Banerjea","Pulicat, Nagapattinam",Decline and disintegration of Mughal empire with gaining strength of the British,"Pulicat, Nagapattinam",static,EASY
What was the importance of First war of Indian independence ? ,"Pulicat, Nagapattinam",A O Hume,"Dominated by Dadabai Naoroji, Surendranath Banerjea",Tipu ceded half of his territory,A O Hume,static,EASY
What was the importance of Formation of Congress ? ,Tipu ceded half of his territory,Decline and disintegration of Mughal empire with gaining strength of the British,"Dominated by Dadabai Naoroji, Surendranath Banerjea","Established Din-i-illahi, expanded Mughal empire","Dominated by Dadabai Naoroji, Surendranath Banerjea",static,EASY
