Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel,Word family,Meaning,Onset for first letter,onset for second letter
greed,32001,6128,gluttony,-1,1,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
greed,32001,7042,excess,5,1,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
greed,32001,21317,avarice,-1,1,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
greed,32001,31999,eagerness,4,2,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
greed,32001,32002,hunger,3,1,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
greed,32001,32006,avidity,-1,2,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
greed,32001,32007,covetousness,-1,2,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
greed,32001,32926,intemperance,-1,2,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
greed,32001,33604,selfishness,5,1,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
greed,32001,33693,rapacity,-1,2,1,None,"{'Noun': ['excessive desire to acquire or possess more (especially more material wealth', 'reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins']}","['breed', 'creed', 'freed', 'greed', 'treed']",bleed;gleed;breed;creed;freed;greed;treed;gweed;tweed
abusive,5102,7060,offensive,4,3,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
abusive,5102,11072,scathing,-1,1,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
abusive,5102,12175,invective,-1,1,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
abusive,5102,14665,vituperative,-1,1,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
abusive,5102,15600,scolding,-1,1,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
abusive,5102,16962,rude,3,3,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
abusive,5102,17033,insolent,-1,1,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
abusive,5102,17844,derisive,-1,1,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
abusive,5102,18023,defamatory,-1,1,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
abusive,5102,19640,disparaging,-1,1,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
abusive,5102,27896,insulting,-1,3,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
abusive,5102,29194,scurrilous,-1,1,3,None,"{'Adjective': ['expressing offensive reproach', 'characterized by physical or psychological maltreatment']}",['abusive'],abusive;amusive
unveil,8412,69,tell,1,3,2,None,"{'Verb': ['remove the veil from', 'make visible', 'remove the cover from']}","['enveil', 'inveil', 'unveil']",enveil;inveil;unveil
unveil,8412,75,display,3,3,2,None,"{'Verb': ['remove the veil from', 'make visible', 'remove the cover from']}","['enveil', 'inveil', 'unveil']",enveil;inveil;unveil
unveil,8412,254,open,2,3,2,None,"{'Verb': ['remove the veil from', 'make visible', 'remove the cover from']}","['enveil', 'inveil', 'unveil']",enveil;inveil;unveil
unveil,8412,773,spring,2,2,2,None,"{'Verb': ['remove the veil from', 'make visible', 'remove the cover from']}","['enveil', 'inveil', 'unveil']",enveil;inveil;unveil
unveil,8412,833,discover,3,2,2,None,"{'Verb': ['remove the veil from', 'make visible', 'remove the cover from']}","['enveil', 'inveil', 'unveil']",enveil;inveil;unveil
unveil,8412,1027,uncover,5,2,2,None,"{'Verb': ['remove the veil from', 'make visible', 'remove the cover from']}","['enveil', 'inveil', 'unveil']",enveil;inveil;unveil
unveil,8412,2336,expose,4,2,2,None,"{'Verb': ['remove the veil from', 'make visible', 'remove the cover from']}","['enveil', 'inveil', 'unveil']",enveil;inveil;unveil
unveil,8412,2574,betray,4,2,2,None,"{'Verb': ['remove the veil from', 'make visible', 'remove the cover from']}","['enveil', 'inveil', 'unveil']",enveil;inveil;unveil
unveil,8412,4425,disclose,6,3,2,None,"{'Verb': ['remove the veil from', 'make visible', 'remove the cover from']}","['enveil', 'inveil', 'unveil']",enveil;inveil;unveil
unveil,8412,8604,divulge,-1,2,2,None,"{'Verb': ['remove the veil from', 'make visible', 'remove the cover from']}","['enveil', 'inveil', 'unveil']",enveil;inveil;unveil
classical,3716,2427,academic,4,2,3,None,"{'Noun': ['traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste'], 'Adjective': ['of or relating to the first significant period of a civilization, culture, area of study, etc.', 'of or relating to the study of the literary works of ancient Greece and Rome', 'of or relating to the languages used by ancient standard authors', 'well-known and long-established in form or style', '(physics', 'of or relating to music in the European tradition, such as symphonies and operas', 'of or pertaining to or characteristic of the ancient Greeks and Romans, especially their art, literature, or culture']}",['classical'],classical
classical,3716,9979,roman,-1,2,3,None,"{'Noun': ['traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste'], 'Adjective': ['of or relating to the first significant period of a civilization, culture, area of study, etc.', 'of or relating to the study of the literary works of ancient Greece and Rome', 'of or relating to the languages used by ancient standard authors', 'well-known and long-established in form or style', '(physics', 'of or relating to music in the European tradition, such as symphonies and operas', 'of or pertaining to or characteristic of the ancient Greeks and Romans, especially their art, literature, or culture']}",['classical'],classical
classical,3716,12593,Latin,-1,2,3,None,"{'Noun': ['traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste'], 'Adjective': ['of or relating to the first significant period of a civilization, culture, area of study, etc.', 'of or relating to the study of the literary works of ancient Greece and Rome', 'of or relating to the languages used by ancient standard authors', 'well-known and long-established in form or style', '(physics', 'of or relating to music in the European tradition, such as symphonies and operas', 'of or pertaining to or characteristic of the ancient Greeks and Romans, especially their art, literature, or culture']}",['classical'],classical
classical,3716,13410,Greek,-1,2,3,None,"{'Noun': ['traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste'], 'Adjective': ['of or relating to the first significant period of a civilization, culture, area of study, etc.', 'of or relating to the study of the literary works of ancient Greece and Rome', 'of or relating to the languages used by ancient standard authors', 'well-known and long-established in form or style', '(physics', 'of or relating to music in the European tradition, such as symphonies and operas', 'of or pertaining to or characteristic of the ancient Greeks and Romans, especially their art, literature, or culture']}",['classical'],classical
classical,3716,20329,humanistic,-1,1,3,None,"{'Noun': ['traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste'], 'Adjective': ['of or relating to the first significant period of a civilization, culture, area of study, etc.', 'of or relating to the study of the literary works of ancient Greece and Rome', 'of or relating to the languages used by ancient standard authors', 'well-known and long-established in form or style', '(physics', 'of or relating to music in the European tradition, such as symphonies and operas', 'of or pertaining to or characteristic of the ancient Greeks and Romans, especially their art, literature, or culture']}",['classical'],classical
classical,3716,22941,Grecian,-1,2,3,None,"{'Noun': ['traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste'], 'Adjective': ['of or relating to the first significant period of a civilization, culture, area of study, etc.', 'of or relating to the study of the literary works of ancient Greece and Rome', 'of or relating to the languages used by ancient standard authors', 'well-known and long-established in form or style', '(physics', 'of or relating to music in the European tradition, such as symphonies and operas', 'of or pertaining to or characteristic of the ancient Greeks and Romans, especially their art, literature, or culture']}",['classical'],classical
classical,3716,23689,bookish,-1,3,3,None,"{'Noun': ['traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste'], 'Adjective': ['of or relating to the first significant period of a civilization, culture, area of study, etc.', 'of or relating to the study of the literary works of ancient Greece and Rome', 'of or relating to the languages used by ancient standard authors', 'well-known and long-established in form or style', '(physics', 'of or relating to music in the European tradition, such as symphonies and operas', 'of or pertaining to or characteristic of the ancient Greeks and Romans, especially their art, literature, or culture']}",['classical'],classical
classical,3716,31845,classic,4,1,3,None,"{'Noun': ['traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste'], 'Adjective': ['of or relating to the first significant period of a civilization, culture, area of study, etc.', 'of or relating to the study of the literary works of ancient Greece and Rome', 'of or relating to the languages used by ancient standard authors', 'well-known and long-established in form or style', '(physics', 'of or relating to music in the European tradition, such as symphonies and operas', 'of or pertaining to or characteristic of the ancient Greeks and Romans, especially their art, literature, or culture']}",['classical'],classical
classical,3716,33103,scholastic,-1,2,3,None,"{'Noun': ['traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste'], 'Adjective': ['of or relating to the first significant period of a civilization, culture, area of study, etc.', 'of or relating to the study of the literary works of ancient Greece and Rome', 'of or relating to the languages used by ancient standard authors', 'well-known and long-established in form or style', '(physics', 'of or relating to music in the European tradition, such as symphonies and operas', 'of or pertaining to or characteristic of the ancient Greeks and Romans, especially their art, literature, or culture']}",['classical'],classical
classical,3716,35328,canonical,-1,3,3,None,"{'Noun': ['traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste'], 'Adjective': ['of or relating to the first significant period of a civilization, culture, area of study, etc.', 'of or relating to the study of the literary works of ancient Greece and Rome', 'of or relating to the languages used by ancient standard authors', 'well-known and long-established in form or style', '(physics', 'of or relating to music in the European tradition, such as symphonies and operas', 'of or pertaining to or characteristic of the ancient Greeks and Romans, especially their art, literature, or culture']}",['classical'],classical
classical,3716,36786,attic,4,2,3,None,"{'Noun': ['traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste'], 'Adjective': ['of or relating to the first significant period of a civilization, culture, area of study, etc.', 'of or relating to the study of the literary works of ancient Greece and Rome', 'of or relating to the languages used by ancient standard authors', 'well-known and long-established in form or style', '(physics', 'of or relating to music in the European tradition, such as symphonies and operas', 'of or pertaining to or characteristic of the ancient Greeks and Romans, especially their art, literature, or culture']}",['classical'],classical
designate,6406,66,label,6,1,3,designate,"{'Verb': ['assign a name or title to', 'give an assignment to (a person', 'a person', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'decree or designate beforehand', 'design or destine'], 'Adjective': ['appointed but not yet installed in office']}",['designate'],designate
designate,6406,1727,nickname,3,2,3,designate,"{'Verb': ['assign a name or title to', 'give an assignment to (a person', 'a person', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'decree or designate beforehand', 'design or destine'], 'Adjective': ['appointed but not yet installed in office']}",['designate'],designate
designate,6406,1907,style,3,2,3,designate,"{'Verb': ['assign a name or title to', 'give an assignment to (a person', 'a person', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'decree or designate beforehand', 'design or destine'], 'Adjective': ['appointed but not yet installed in office']}",['designate'],designate
designate,6406,2110,term,2,2,3,designate,"{'Verb': ['assign a name or title to', 'give an assignment to (a person', 'a person', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'decree or designate beforehand', 'design or destine'], 'Adjective': ['appointed but not yet installed in office']}",['designate'],designate
designate,6406,4591,dub,5,2,3,designate,"{'Verb': ['assign a name or title to', 'give an assignment to (a person', 'a person', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'decree or designate beforehand', 'design or destine'], 'Adjective': ['appointed but not yet installed in office']}",['designate'],designate
designate,6406,11627,denominate,-1,2,3,designate,"{'Verb': ['assign a name or title to', 'give an assignment to (a person', 'a person', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'decree or designate beforehand', 'design or destine'], 'Adjective': ['appointed but not yet installed in office']}",['designate'],designate
designate,6406,14365,nominate,5,1,3,designate,"{'Verb': ['assign a name or title to', 'give an assignment to (a person', 'a person', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'decree or designate beforehand', 'design or destine'], 'Adjective': ['appointed but not yet installed in office']}",['designate'],designate
designate,6406,25645,baptize,-1,2,3,designate,"{'Verb': ['assign a name or title to', 'give an assignment to (a person', 'a person', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'decree or designate beforehand', 'design or destine'], 'Adjective': ['appointed but not yet installed in office']}",['designate'],designate
designate,6406,28475,title,3,2,3,designate,"{'Verb': ['assign a name or title to', 'give an assignment to (a person', 'a person', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'decree or designate beforehand', 'design or destine'], 'Adjective': ['appointed but not yet installed in office']}",['designate'],designate
designate,6406,31584,call,3,2,3,designate,"{'Verb': ['assign a name or title to', 'give an assignment to (a person', 'a person', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'decree or designate beforehand', 'design or destine'], 'Adjective': ['appointed but not yet installed in office']}",['designate'],designate
designate,6406,34666,christen,-1,2,3,designate,"{'Verb': ['assign a name or title to', 'give an assignment to (a person', 'a person', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'decree or designate beforehand', 'design or destine'], 'Adjective': ['appointed but not yet installed in office']}",['designate'],designate
patch,5336,63,bit,2,3,1,None,"{'Noun': ['a small contrasting part of something', 'a small area of ground covered by specific vegetation', 'a piece of cloth used as decoration or to mend or cover a hole', 'a period of indeterminate length (usually short', 'a short set of commands to correct a bug in a computer program', 'a connection intended to be used for a limited time', 'sewing that repairs a worn or torn hole (especially in a garment', 'a protective cloth covering for an injured eye', 'a piece of soft material that covers and protects an injured part of the body'], 'Verb': ['to join or unite the pieces of', 'provide with a patch; also used metaphorically', 'mend by putting a patch on', 'repair by adding pieces']}","['batch', 'catch', 'datch', 'gatch', 'hatch', 'latch', 'match', 'natch', 'patch', 'ratch', 'watch']",batch;catch;datch;gatch;hatch;latch;match;natch;patch;ratch;watch;aitch;bitch;ditch;fitch;hitch;litch;nitch;pitch;sitch;witch;botch;cotch;fotch;gotch;hotch;notch;potch;rotch;butch;cutch;dutch;hutch;letch;mutch;retch;rutch
patch,5336,268,land,4,3,1,None,"{'Noun': ['a small contrasting part of something', 'a small area of ground covered by specific vegetation', 'a piece of cloth used as decoration or to mend or cover a hole', 'a period of indeterminate length (usually short', 'a short set of commands to correct a bug in a computer program', 'a connection intended to be used for a limited time', 'sewing that repairs a worn or torn hole (especially in a garment', 'a protective cloth covering for an injured eye', 'a piece of soft material that covers and protects an injured part of the body'], 'Verb': ['to join or unite the pieces of', 'provide with a patch; also used metaphorically', 'mend by putting a patch on', 'repair by adding pieces']}","['batch', 'catch', 'datch', 'gatch', 'hatch', 'latch', 'match', 'natch', 'patch', 'ratch', 'watch']",batch;catch;datch;gatch;hatch;latch;match;natch;patch;ratch;watch;aitch;bitch;ditch;fitch;hitch;litch;nitch;pitch;sitch;witch;botch;cotch;fotch;gotch;hotch;notch;potch;rotch;butch;cutch;dutch;hutch;letch;mutch;retch;rutch
patch,5336,333,lot,1,3,1,None,"{'Noun': ['a small contrasting part of something', 'a small area of ground covered by specific vegetation', 'a piece of cloth used as decoration or to mend or cover a hole', 'a period of indeterminate length (usually short', 'a short set of commands to correct a bug in a computer program', 'a connection intended to be used for a limited time', 'sewing that repairs a worn or torn hole (especially in a garment', 'a protective cloth covering for an injured eye', 'a piece of soft material that covers and protects an injured part of the body'], 'Verb': ['to join or unite the pieces of', 'provide with a patch; also used metaphorically', 'mend by putting a patch on', 'repair by adding pieces']}","['batch', 'catch', 'datch', 'gatch', 'hatch', 'latch', 'match', 'natch', 'patch', 'ratch', 'watch']",batch;catch;datch;gatch;hatch;latch;match;natch;patch;ratch;watch;aitch;bitch;ditch;fitch;hitch;litch;nitch;pitch;sitch;witch;botch;cotch;fotch;gotch;hotch;notch;potch;rotch;butch;cutch;dutch;hutch;letch;mutch;retch;rutch
patch,5336,825,ground,4,3,1,None,"{'Noun': ['a small contrasting part of something', 'a small area of ground covered by specific vegetation', 'a piece of cloth used as decoration or to mend or cover a hole', 'a period of indeterminate length (usually short', 'a short set of commands to correct a bug in a computer program', 'a connection intended to be used for a limited time', 'sewing that repairs a worn or torn hole (especially in a garment', 'a protective cloth covering for an injured eye', 'a piece of soft material that covers and protects an injured part of the body'], 'Verb': ['to join or unite the pieces of', 'provide with a patch; also used metaphorically', 'mend by putting a patch on', 'repair by adding pieces']}","['batch', 'catch', 'datch', 'gatch', 'hatch', 'latch', 'match', 'natch', 'patch', 'ratch', 'watch']",batch;catch;datch;gatch;hatch;latch;match;natch;patch;ratch;watch;aitch;bitch;ditch;fitch;hitch;litch;nitch;pitch;sitch;witch;botch;cotch;fotch;gotch;hotch;notch;potch;rotch;butch;cutch;dutch;hutch;letch;mutch;retch;rutch
patch,5336,961,blob,-1,2,1,None,"{'Noun': ['a small contrasting part of something', 'a small area of ground covered by specific vegetation', 'a piece of cloth used as decoration or to mend or cover a hole', 'a period of indeterminate length (usually short', 'a short set of commands to correct a bug in a computer program', 'a connection intended to be used for a limited time', 'sewing that repairs a worn or torn hole (especially in a garment', 'a protective cloth covering for an injured eye', 'a piece of soft material that covers and protects an injured part of the body'], 'Verb': ['to join or unite the pieces of', 'provide with a patch; also used metaphorically', 'mend by putting a patch on', 'repair by adding pieces']}","['batch', 'catch', 'datch', 'gatch', 'hatch', 'latch', 'match', 'natch', 'patch', 'ratch', 'watch']",batch;catch;datch;gatch;hatch;latch;match;natch;patch;ratch;watch;aitch;bitch;ditch;fitch;hitch;litch;nitch;pitch;sitch;witch;botch;cotch;fotch;gotch;hotch;notch;potch;rotch;butch;cutch;dutch;hutch;letch;mutch;retch;rutch
patch,5336,1232,stretch,4,3,1,None,"{'Noun': ['a small contrasting part of something', 'a small area of ground covered by specific vegetation', 'a piece of cloth used as decoration or to mend or cover a hole', 'a period of indeterminate length (usually short', 'a short set of commands to correct a bug in a computer program', 'a connection intended to be used for a limited time', 'sewing that repairs a worn or torn hole (especially in a garment', 'a protective cloth covering for an injured eye', 'a piece of soft material that covers and protects an injured part of the body'], 'Verb': ['to join or unite the pieces of', 'provide with a patch; also used metaphorically', 'mend by putting a patch on', 'repair by adding pieces']}","['batch', 'catch', 'datch', 'gatch', 'hatch', 'latch', 'match', 'natch', 'patch', 'ratch', 'watch']",batch;catch;datch;gatch;hatch;latch;match;natch;patch;ratch;watch;aitch;bitch;ditch;fitch;hitch;litch;nitch;pitch;sitch;witch;botch;cotch;fotch;gotch;hotch;notch;potch;rotch;butch;cutch;dutch;hutch;letch;mutch;retch;rutch
patch,5336,1923,strip,5,3,1,None,"{'Noun': ['a small contrasting part of something', 'a small area of ground covered by specific vegetation', 'a piece of cloth used as decoration or to mend or cover a hole', 'a period of indeterminate length (usually short', 'a short set of commands to correct a bug in a computer program', 'a connection intended to be used for a limited time', 'sewing that repairs a worn or torn hole (especially in a garment', 'a protective cloth covering for an injured eye', 'a piece of soft material that covers and protects an injured part of the body'], 'Verb': ['to join or unite the pieces of', 'provide with a patch; also used metaphorically', 'mend by putting a patch on', 'repair by adding pieces']}","['batch', 'catch', 'datch', 'gatch', 'hatch', 'latch', 'match', 'natch', 'patch', 'ratch', 'watch']",batch;catch;datch;gatch;hatch;latch;match;natch;patch;ratch;watch;aitch;bitch;ditch;fitch;hitch;litch;nitch;pitch;sitch;witch;botch;cotch;fotch;gotch;hotch;notch;potch;rotch;butch;cutch;dutch;hutch;letch;mutch;retch;rutch
patch,5336,2166,plot,4,3,1,None,"{'Noun': ['a small contrasting part of something', 'a small area of ground covered by specific vegetation', 'a piece of cloth used as decoration or to mend or cover a hole', 'a period of indeterminate length (usually short', 'a short set of commands to correct a bug in a computer program', 'a connection intended to be used for a limited time', 'sewing that repairs a worn or torn hole (especially in a garment', 'a protective cloth covering for an injured eye', 'a piece of soft material that covers and protects an injured part of the body'], 'Verb': ['to join or unite the pieces of', 'provide with a patch; also used metaphorically', 'mend by putting a patch on', 'repair by adding pieces']}","['batch', 'catch', 'datch', 'gatch', 'hatch', 'latch', 'match', 'natch', 'patch', 'ratch', 'watch']",batch;catch;datch;gatch;hatch;latch;match;natch;patch;ratch;watch;aitch;bitch;ditch;fitch;hitch;litch;nitch;pitch;sitch;witch;botch;cotch;fotch;gotch;hotch;notch;potch;rotch;butch;cutch;dutch;hutch;letch;mutch;retch;rutch
patch,5336,3243,hunk,-1,2,1,None,"{'Noun': ['a small contrasting part of something', 'a small area of ground covered by specific vegetation', 'a piece of cloth used as decoration or to mend or cover a hole', 'a period of indeterminate length (usually short', 'a short set of commands to correct a bug in a computer program', 'a connection intended to be used for a limited time', 'sewing that repairs a worn or torn hole (especially in a garment', 'a protective cloth covering for an injured eye', 'a piece of soft material that covers and protects an injured part of the body'], 'Verb': ['to join or unite the pieces of', 'provide with a patch; also used metaphorically', 'mend by putting a patch on', 'repair by adding pieces']}","['batch', 'catch', 'datch', 'gatch', 'hatch', 'latch', 'match', 'natch', 'patch', 'ratch', 'watch']",batch;catch;datch;gatch;hatch;latch;match;natch;patch;ratch;watch;aitch;bitch;ditch;fitch;hitch;litch;nitch;pitch;sitch;witch;botch;cotch;fotch;gotch;hotch;notch;potch;rotch;butch;cutch;dutch;hutch;letch;mutch;retch;rutch
patch,5336,6618,chunk,5,3,1,None,"{'Noun': ['a small contrasting part of something', 'a small area of ground covered by specific vegetation', 'a piece of cloth used as decoration or to mend or cover a hole', 'a period of indeterminate length (usually short', 'a short set of commands to correct a bug in a computer program', 'a connection intended to be used for a limited time', 'sewing that repairs a worn or torn hole (especially in a garment', 'a protective cloth covering for an injured eye', 'a piece of soft material that covers and protects an injured part of the body'], 'Verb': ['to join or unite the pieces of', 'provide with a patch; also used metaphorically', 'mend by putting a patch on', 'repair by adding pieces']}","['batch', 'catch', 'datch', 'gatch', 'hatch', 'latch', 'match', 'natch', 'patch', 'ratch', 'watch']",batch;catch;datch;gatch;hatch;latch;match;natch;patch;ratch;watch;aitch;bitch;ditch;fitch;hitch;litch;nitch;pitch;sitch;witch;botch;cotch;fotch;gotch;hotch;notch;potch;rotch;butch;cutch;dutch;hutch;letch;mutch;retch;rutch
precede,4561,58,head,1,2,2,precede,"{'Verb': ['be earlier in time; go back further', 'come before', 'be the predecessor of', 'move ahead (of others', 'furnish with a preface or introduction']}",['precede'],precede
precede,4561,137,time,2,2,2,precede,"{'Verb': ['be earlier in time; go back further', 'come before', 'be the predecessor of', 'move ahead (of others', 'furnish with a preface or introduction']}",['precede'],precede
precede,4561,885,guide,3,2,2,precede,"{'Verb': ['be earlier in time; go back further', 'come before', 'be the predecessor of', 'move ahead (of others', 'furnish with a preface or introduction']}",['precede'],precede
precede,4561,1442,introduce,4,2,2,precede,"{'Verb': ['be earlier in time; go back further', 'come before', 'be the predecessor of', 'move ahead (of others', 'furnish with a preface or introduction']}",['precede'],precede
precede,4561,1973,preface,-1,2,2,precede,"{'Verb': ['be earlier in time; go back further', 'come before', 'be the predecessor of', 'move ahead (of others', 'furnish with a preface or introduction']}",['precede'],precede
